sample_id,iteration,seed,final_x
0,0,107148009077176340233062735521846671049,0.0
0,1,77255215420406207553255859932211364909,1.0
0,2,150034848112896538970730079900685459238,1.0
1,0,123851436689476275097005061771696520905,0.5859740259740258
1,1,194529891364240698011076608250363077688,0.4813852813852812
1,2,232794224400986817536250426608955168329,0.5131601731601731
2,0,243173056261869208322604724718916648924,0.43095975232198147
2,1,232031803750908143085604977672026993145,0.5148164528969486
2,2,57446415813657714381282796653672079393,0.46921716054842955
3,0,215039308729016025955943021521988536758,0.5098901098901105
3,1,17253533569714147721520013897723744464,0.459221859221859
3,2,127882199059286129352603031654074762517,0.4782001782001779
4,0,161913606342505005269051358224666866428,0.47354651162790673
4,1,337284734636921441399687192710644654212,0.5133273703041128
4,2,128876710226457793034325340391507703246,0.5152280858676211
5,0,42255208381343889685927933575530582080,0.529150233058444
5,1,239906606855715780904024437732298494421,0.5380960917891722
5,2,164966362843490482795042138332055551619,0.46100752958049407
6,0,157500673215150634249945099451839645967,0.48111909036505207
6,1,296763465988535128921410310465988600196,0.510981448234591
6,2,41151892175369647927885274006920919237,0.5074655894673864
7,0,173055255699275446923706557551350029554,0.49297727564514005
7,1,166996703723742905009646563454884652740,0.49524971113108285
7,2,32470781634644714424906925108667185021,0.5012196687636401
8,0,181456645561052338982926210802897070765,0.49288364249578537
8,1,188828978291389622843881499962711303434,0.4846767847105121
8,2,251268232821823394685008625722639566575,0.517032040472176
9,0,269365691770731545586908319017805008286,0.5007700000000008
9,1,42318090020518490264387175875195129307,0.5261700000000006
9,2,148886749134234082720054334191420808523,0.48872000000000015
