sample_id,iteration,seed,final_x
0,0,139213641239029656627968645240389774261,0.0
0,1,97894668091252874996967612345374763561,1.0
0,2,138802661668972300376434809344925150306,1.0
1,0,237698150663468696266821265794842831016,0.4180086580086584
1,1,154364152247377153150605885105005156514,0.6295238095238072
1,2,199962967187627661995865518598428515439,0.3786147186147186
2,0,184936580276122908133336851502790587090,0.4876603272888103
2,1,286146801990301381056357745355111328723,0.5145068553737258
2,2,114807952505886409628918308311354511259,0.515612560813798
3,0,176267831311544250907695395481207210522,0.5187704187704182
3,1,161217747707093704839525548712888366842,0.39046629046629083
3,2,258901503470379821369657086735207768933,0.45066825066824984
4,0,334183706728665069759831103498244983879,0.5066636851520582
4,1,297759685198507657756376394796828778803,0.4624776386404296
4,2,57988106169255288177335453765123681179,0.56583184257603
5,0,144454714920406222690955680143188746911,0.5436715668698459
5,1,227115032832039682423368016908213988492,0.525600573682329
5,2,338833039496935514956619799794228970939,0.48112226604517805
6,0,123116579229949732547490155447755803120,0.4842609216038295
6,1,64621131966097043137000892915088939375,0.4903650508677477
6,2,94763314495025037491867894989945263466,0.570107719928189
7,0,319826314242835430841041098321690098621,0.49315701630504455
7,1,184173842845748543110313589330331206884,0.48076774939016204
7,2,248363566792367043977543304293848939400,0.46068814995506446
8,0,301332535575646373853487682975578902232,0.47579539066891624
8,1,121495118775855486983773031035741142361,0.4931422147273785
8,2,179122195013089850333096573630163414663,0.5440697020798193
9,0,239014383299048981385412112135020405917,0.5036900000000012
9,1,310340676708891316672086205714311580083,0.46443000000000045
9,2,277369029877093606681410750267988694630,0.4511300000000025
