sample_id,iteration,seed,final_x
0,0,288343189787980012120521522816077535696,1.0
0,1,325699004334627182584585740879850588268,1.0
0,2,12508589858496617643645404801839659084,0.0
1,0,207903464703383436070895514923202657188,0.6186147186147184
1,1,301096983192536298290637301247790471434,0.4180952380952381
1,2,189310961159649816378807657852744428616,0.41212121212121244
2,0,258173747444468579964600778338723986317,0.5754091110128255
2,1,19974747526348753543481705906982471483,0.5062361786819993
2,2,99874598831504258943417412991633035555,0.4517027863777094
3,0,308696747471402176330252294118232820997,0.5430650430650431
3,1,163086862927249230549292608474085952826,0.5150282150282148
3,2,188097837710408284037237541040136475292,0.4414909414909406
4,0,167895330270138839554890564332869230069,0.47792933810375715
4,1,246456257133518471072951689253540209442,0.4552101967799649
4,2,142014067920379784402659590755834665274,0.5272137745974946
5,0,205499901313874524101859175268194994494,0.520688418788096
5,1,72474699822662930273696284280911481687,0.5053961993546078
5,2,269472818118511781219637970250412303707,0.5061670849766945
6,0,232168092811264729694684818830738620002,0.516412327947336
6,1,264092950062902842683816796925255520497,0.5361011370436854
6,2,133917770153426131401070943334855871010,0.48378216636744503
7,0,134316313578587487664272583653725049895,0.511811529079471
7,1,16307543974396316416597098711574690949,0.5064193092823208
7,2,81599857706911110572473941504820852409,0.4850943638464495
8,0,20368100677098211047413149770371295767,0.5283754918493534
8,1,170621037767799374076857020714320403118,0.49282743114108896
8,2,235860511663322730413070661406426662438,0.4820123664980334
9,0,128678694397461905031607350899000798016,0.5300599999999986
9,1,188772879494286770015852245463990082387,0.49715000000000037
9,2,299211849441983849484606525274942347512,0.4821599999999982
