,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change,selection_pressure
60,20,0,333534257574493810058502109255548736228,0.3856373868363097,4087,1.0,True,False,False,0.1
61,20,1,32127885644403315617357415029287364704,0.3805480792757523,4087,1.0,True,False,False,0.1
62,20,2,224693481217295009771167719377488305177,0.3880841693173478,4087,1.0,True,False,False,0.1
63,21,0,167011056389148520621148140729535924651,0.3749009554882309,4291,1.0,True,False,False,0.1
64,21,1,211707185042964539110395446872279021129,0.378489862502912,4291,1.0,True,False,False,0.1
65,21,2,162683640382828393981493902142069142999,0.3724073642507567,4291,1.0,True,False,False,0.1
66,22,0,161298707964651864085894278123244051144,0.3636707452725256,4495,1.0,True,False,False,0.1
67,22,1,259631025017583545057851921530476727264,0.3595995550611789,4495,1.0,True,False,False,0.1
68,22,2,98772241962594862820421676193303172000,0.3644271412680738,4495,1.0,True,False,False,0.1
69,23,0,43844709564095509572124184277733767449,0.3591402426048095,4699,1.0,True,False,False,0.1
70,23,1,129866737994842264478927263399787196265,0.3616301340710794,4699,1.0,True,False,False,0.1
71,23,2,112628505292235321356083790750801835416,0.3517982549478609,4699,1.0,True,False,False,0.1
72,24,0,181447342850972256812145662058533049552,0.3525596573526402,4903,1.0,True,False,False,0.1
73,24,1,315632009869534478708484055577382951630,0.3427901284927596,4903,1.0,True,False,False,0.1
74,24,2,20265267150475390807844039798334524235,0.3517030389557418,4903,1.0,True,False,False,0.1
75,25,0,167286553232224846873442123708031640666,0.3396514587820632,5107,1.0,True,False,False,0.1
76,25,1,1626994215696237745558763534885865002,0.3412375171333456,5107,1.0,True,False,False,0.1
77,25,2,238463243300769754624894442282397421384,0.3442725670648133,5107,1.0,True,False,False,0.1
78,26,0,86992242172700383322172865367185196957,0.3370363396723776,5311,1.0,True,False,False,0.1
79,26,1,164759573604696112318538081464479426103,0.3406891357559786,5311,1.0,True,False,False,0.1
80,26,2,308478440645241879853867218511479934072,0.3345885897194505,5311,1.0,True,False,False,0.1
81,27,0,300077831609546046222328819967966965531,0.3321305530371702,5515,1.0,True,False,False,0.1
82,27,1,205276186093716258188492740648978624533,0.3297552130553024,5515,1.0,True,False,False,0.1
83,27,2,74595149837293224135915195663381749732,0.3344514959202171,5515,1.0,True,False,False,0.1
84,28,0,91644103300368546948112326175114585232,0.3268753278545214,5719,1.0,True,False,False,0.1
85,28,1,156566671423858377701355283961536181322,0.3299353033747172,5719,1.0,True,False,False,0.1
86,28,2,241879507446164021872300562626456600843,0.3297079909075016,5719,1.0,True,False,False,0.1
87,29,0,307110968550026589777429601793558866629,0.3211041701840275,5923,1.0,True,False,False,0.1
88,29,1,312194326381832193001631305603580668316,0.3195509032584842,5923,1.0,True,False,False,0.1
89,29,2,247562365500135351946342763681637417377,0.3161404693567428,5923,1.0,True,False,False,0.1
90,30,0,30195016286260907218403306335136248340,0.3168135814560882,6126,1.0,True,False,False,0.1
91,30,1,45335179117462367836601275418064210489,0.3136630754162579,6126,1.0,True,False,False,0.1
92,30,2,163896461856553187875082589683391480177,0.3159320927195558,6126,1.0,True,False,False,0.1
93,31,0,240730803606877638852888496831199526999,0.3105371248025271,6330,1.0,True,False,False,0.1
94,31,1,50173390851689935602046977623362408612,0.3121800947867291,6330,1.0,True,False,False,0.1
95,31,2,294672847084686435849920494808604128133,0.3109636650868861,6330,1.0,True,False,False,0.1
96,32,0,150323055684701595952803094309118865408,0.3096112641567175,6534,1.0,True,False,False,0.1
97,32,1,31320733016430413778612420395673837553,0.3129323538414452,6534,1.0,True,False,False,0.1
98,32,2,54185299369438068236999476516233453264,0.3030456075910614,6534,1.0,True,False,False,0.1
99,33,0,235880973608364384915849077932586775268,0.3024933214603734,6738,1.0,True,False,False,0.1
100,33,1,329936568681637999513549425522523419178,0.3055654496883338,6738,1.0,True,False,False,0.1
101,33,2,317077237457945138117342070897519854103,0.3050311665182545,6738,1.0,True,False,False,0.1
102,34,0,192935170254232541159063344545066447278,0.3042206856813593,6942,1.0,True,False,False,0.1
103,34,1,2104808651187713725157157773535260584,0.2980265053298753,6942,1.0,True,False,False,0.1
104,34,2,92145934815253590124106088335449474158,0.2982425813886487,6942,1.0,True,False,False,0.1
105,35,0,120303936321117421280641569765326941802,0.2939406661069116,7146,1.0,True,False,False,0.1
106,35,1,220681089793796548699909319902953377379,0.2964315701091519,7146,1.0,True,False,False,0.1
107,35,2,313809347759031560187417709798659662822,0.2966974531206266,7146,1.0,True,False,False,0.1
108,36,0,13139532058370141918439273146568791875,0.2951428571428573,7350,1.0,True,False,False,0.1
109,36,1,105226256513762048925410900483681618384,0.2909251700680268,7350,1.0,True,False,False,0.1
110,36,2,287058773225262235249752799683295404065,0.297115646258503,7350,1.0,True,False,False,0.1
111,37,0,109776948575530555999334783519920259471,0.2920307122054534,7554,1.0,True,False,False,0.1
112,37,1,287472617524751107682665826250489441465,0.2950489806724905,7554,1.0,True,False,False,0.1
113,37,2,21854930512898273638179834680495114850,0.2942811755361386,7554,1.0,True,False,False,0.1
114,38,0,82883213044971579733556433458997193584,0.2912348543439014,7758,1.0,True,False,False,0.1
115,38,1,206628838851061617940138648952732855967,0.2891853570507848,7758,1.0,True,False,False,0.1
116,38,2,166984655167851333620243609949366428592,0.2879994844031954,7758,1.0,True,False,False,0.1
117,39,0,318267289846053744266475691060264150994,0.2902285857824661,7962,1.0,True,False,False,0.1
118,39,1,90902617944228530979043518007709025772,0.2848404923386071,7962,1.0,True,False,False,0.1
