sample_id,iteration,seed,final_x
0,0,166472189040577136570374413334186747032,0.0
0,1,7962783960484303070826582693645239499,1.0
0,2,279387662622600477538585255032256543283,0.0
1,0,272411147415849172822716231249618501546,0.5205194805194799
1,1,335584175448533329320320326449192186688,0.4647619047619052
1,2,200235965125629813271330500396443871443,0.4696103896103897
2,0,136858787293960348822527586103350734052,0.4911101282618308
2,1,285735454346193003795808224396800267817,0.44732419283502833
2,2,245093279206653223836705452697591959712,0.4417956656346752
3,0,102232283028344378152264450054044632418,0.5591030591030596
3,1,239153884734912833386699080831614231444,0.426759726759727
3,2,288545380279455568698343358843125102199,0.47825957825957804
4,0,62830393187794170151915229069757741053,0.5046958855098396
4,1,155314042536942117064375744427133909427,0.549485688729876
4,2,92468306215848328841994683433312141772,0.49065295169946327
5,0,10346388626390048633608949366276178671,0.47837934743635696
5,1,327836699893136532455245758777623049457,0.5043743277160262
5,2,220758272958785639951811611033999538423,0.5038006453926146
6,0,298528295213324514290791265176758550045,0.49958108916816335
6,1,6421271628212924414191703105005428214,0.47941352483542593
6,2,101122645830187328405600116999167537088,0.48605625374027533
7,0,99487425972155650546039998346482519020,0.50948773911927
7,1,120665118757345562021575037048666242986,0.47144691231223496
7,2,253545153869602131173910945115378590116,0.47875208627551735
8,0,123847724656671202845294408184238391487,0.5152220348510408
8,1,275203270835229218313937473628698887433,0.5105115233277141
8,2,168500043952866025002967248050727684208,0.4693535694210225
9,0,338117814596657732906712195888687225124,0.5153899999999998
9,1,155539589384389806250819410753065082660,0.4905600000000015
9,2,185364421353007749736830179220360438706,0.5288800000000022
